name,rating,genre,score,director,writer,star,runtime
1492: Conquest of Paradise,PG-13,Adventure,6.5,Ridley Scott,Rose Bosch,Gérard Depardieu,154
15 Minutes,R,Action,6.1,John Herzfeld,John Herzfeld,Robert De Niro,120
16 Blocks,PG-13,Action,6.6,Richard Donner,Richard Wenk,Bruce Willis,102
17 Again,PG-13,Comedy,6.4,Burr Steers,Jason Filardi,Zac Efron,102
18 Again!,PG,Comedy,5.7,Paul Flaherty,Josh Goldstein,Charlie Schlatter,93
2 Days in the Valley,R,Comedy,6.5,John Herzfeld,John Herzfeld,Teri Hatcher,104
2 Fast 2 Furious,PG-13,Action,5.9,John Singleton,Gary Scott Thompson,Paul Walker,107
2 Guns,R,Action,6.7,Baltasar Kormákur,Blake Masters,Denzel Washington,109
200 Cigarettes,R,Comedy,6,Risa Bramon Garcia,Shana Larsen,Ben Affleck,101
2010: the Year We Make Contact,PG,Adventure,6.8,Peter Hyams,Arthur C. Clarke,Roy Scheider,116
20th Century Women,R,Comedy,7.3,Mike Mills,Mike Mills,Annette Bening,119
21 & Over,R,Comedy,5.8,Jon Lucas,Jon Lucas,Miles Teller,93
21 Grams,R,Crime,7.6,Alejandro G. Iñárritu,Guillermo Arriaga,Sean Penn,124
21 Jump Street,R,Action,7.2,Phil Lord,Michael Bacall,Jonah Hill,109
22 Jump Street,R,Action,7,Phil Lord,Michael Bacall,Channing Tatum,112
24 Hour Party People,R,Biography,7.3,Michael Winterbottom,Frank Cottrell Boyce,Steve Coogan,117
25th Hour,R,Drama,7.6,Spike Lee,David Benioff,Edward Norton,135
27 Dresses,PG-13,Comedy,6.1,Anne Fletcher,Aline Brosh McKenna,Katherine Heigl,111
28 Days,PG-13,Comedy,6.1,Betty Thomas,Susannah Grant,Sandra Bullock,103
28 Days Later...,R,Drama,7.6,Danny Boyle,Alex Garland,Cillian Murphy,113
28 Hotel Rooms,Unrated,Drama,5.8,Matt Ross,Matt Ross,Marin Ireland,82
28 Weeks Later,R,Horror,7,Juan Carlos Fresnadillo,Rowan Joffe,Jeremy Renner,100
29th Street,R,Comedy,7.3,George Gallo,Frank Pesce,Anthony LaPaglia,101
3 Days to Kill,PG-13,Action,6.2,McG,Adi Hasak,Kevin Costner,117
3 Idiots,PG-13,Comedy,8.4,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,170
3 Ninjas,PG,Action,5.3,Jon Turteltaub,Kenny Kim,Victor Wong,84
3 Ninjas Kick Back,PG,Action,4.6,Charles T. Kanganis,Sang-ok Shin,Victor Wong,93
3 Ninjas: High Noon at Mega Mountain,PG,Action,3,Sean McNamara,Sean McNamara,Loni Anderson,93
3 Ninjas: Knuckle Up,PG-13,Action,4.3,Sang-ok Shin,Alex S. Kim,Victor Wong,85
3:10 to Yuma,R,Action,7.7,James Mangold,Halsted Welles,Russell Crowe,122
30 Days of Night,R,Action,6.6,David Slade,Steve Niles,Josh Hartnett,113
30 Minutes or Less,R,Action,6.1,Ruben Fleischer,Michael Diliberti,Jesse Eisenberg,83
300: Rise of an Empire,R,Action,6.2,Noam Murro,Zack Snyder,Sullivan Stapleton,102
3000 Miles to Graceland,R,Action,6,Demian Lichtenstein,Richard Recco,Kurt Russell,125
36 fillette,Unrated,Romance,6,Catherine Breillat,Catherine Breillat,Delphine Zentout,88
3-Iron,R,Crime,8,Kim Ki-duk,Kim Ki-duk,Seung-Yun Lee,88
"4 Months, 3 Weeks and 2 Days",Unrated,Drama,7.9,Cristian Mungiu,Cristian Mungiu,Anamaria Marinca,113
40 Days and 40 Nights,R,Comedy,5.6,Michael Lehmann,Rob Perez,Josh Hartnett,96
42nd Street: The Musical,Unrated,Musical,7.9,Mark Bramble,Mark Bramble,Bonnie Langford,155
45 Years,R,Drama,7.1,Andrew Haigh,Andrew Haigh,Charlotte Rampling,91
47 Meters Down,PG-13,Adventure,5.7,Johannes Roberts,Johannes Roberts,Mandy Moore,89
47 Meters Down: Uncaged,PG-13,Adventure,5,Johannes Roberts,Ernest Riera,Sophie Nélisse,90
47 Ronin,PG-13,Action,6.3,Carl Rinsch,Chris Morgan,Keanu Reeves,128
48 Hrs.,R,Action,6.9,Walter Hill,Roger Spottiswoode,Nick Nolte,96
50 First Dates,PG-13,Comedy,6.8,Peter Segal,George Wing,Adam Sandler,99
50/50,R,Comedy,7.6,Jonathan Levine,Will Reiser,Joseph Gordon-Levitt,100
500 Days of Summer,PG-13,Comedy,7.7,Marc Webb,Scott Neustadter,Zooey Deschanel,95
52 Pick-Up,R,Crime,6.4,John Frankenheimer,Elmore Leonard,Roy Scheider,110
7 Days in Entebbe,PG-13,Action,5.8,José Padilha,Gregory Burke,Batsheva Dance Company,107
'71,R,Action,7.2,Yann Demange,Gregory Burke,Jack O'Connell,99
8 � Women,R,Comedy,5.8,Peter Greenaway,Peter Greenaway,John Standing,118
8 Heads in a Duffel Bag,R,Adventure,5.4,Tom Schulman,Tom Schulman,Joe Pesci,95
8 Mile,R,Drama,7.1,Curtis Hanson,Scott Silver,Eminem,110
8 Million Ways to Die,R,Action,5.8,Hal Ashby,Lawrence Block,Jeff Bridges,115
8 Seconds,PG-13,Biography,6.6,John G. Avildsen,Monte Merrick,Luke Perry,105
8 Women,R,Comedy,7.1,François Ozon,François Ozon,Fanny Ardant,111
84 Charing Cross Road,PG,Biography,7.5,David Hugh Jones,Helene Hanff,Anne Bancroft,100
84C MoPic,R,Drama,6.9,Patrick Sheane Duncan,Patrick Sheane Duncan,Jonathan Emerson,95
88 Minutes,R,Crime,5.9,Jon Avnet,Gary Scott Thompson,Al Pacino,108
8MM,R,Crime,6.5,Joel Schumacher,Andrew Kevin Walker,Nicolas Cage,123
9 Songs,Unrated,Drama,4.8,Michael Winterbottom,Michael Winterbottom,Kieran O'Brien,71
9 to 5,PG,Comedy,6.9,Colin Higgins,Patricia Resnick,Jane Fonda,109
90 Minutes in Heaven,PG-13,Drama,4.8,Michael Polish,Michael Polish,Kate Bosworth,121
976-EVIL,R,Comedy,5.1,Robert Englund,Rhet Topham,Stephen Geoffreys,92
99 Homes,R,Drama,7.1,Ramin Bahrani,Ramin Bahrani,Andrew Garfield,112
A Bad Moms Christmas,R,Comedy,5.6,Jon Lucas,Jon Lucas,Mila Kunis,104
A Beautiful Day in the Neighborhood,PG,Biography,7.3,Marielle Heller,Micah Fitzerman-Blue,Tom Hanks,109
A Beautiful Mind,PG-13,Biography,8.2,Ron Howard,Akiva Goldsman,Russell Crowe,135
A Bigger Splash,R,Drama,6.4,Luca Guadagnino,David Kajganich,Tilda Swinton,125
A Bronx Tale,R,Crime,7.8,Robert De Niro,Chazz Palminteri,Robert De Niro,121
A Brother's Love,Unrated,Drama,6.8,Monia Chokri,Monia Chokri,Anne-Élisabeth Bossé,117
A Bug's Life,G,Animation,7.2,John Lasseter,John Lasseter,Kevin Spacey,95
A Chorus Line,PG-13,Drama,6.2,Richard Attenborough,Arnold Schulman,Michael Douglas,113
A Chorus of Disapproval,PG,Comedy,5.6,Michael Winner,Alan Ayckbourn,Jeremy Irons,92
A Christmas Carol,PG,Animation,6.8,Robert Zemeckis,Charles Dickens,Jim Carrey,96
A Christmas Story,PG,Comedy,7.9,Bob Clark,Jean Shepherd,Peter Billingsley,93
A Cinderella Story,PG,Comedy,5.9,Mark Rosman,Leigh Dunlap,Hilary Duff,95
A Civil Action,PG-13,Drama,6.6,Steven Zaillian,Jonathan Harr,John Travolta,115
"A Cool, Dry Place",PG-13,Drama,6.2,John N. Smith,Michael Grant Jaffe,Vince Vaughn,97
A Cry in the Dark,PG-13,Biography,6.9,Fred Schepisi,John Bryson,Meryl Streep,120
A Cry in the Wild,PG,Action,5.6,Mark Griffiths,Gary Paulsen,Jared Rushton,82
A Cure for Wellness,R,Drama,6.4,Gore Verbinski,Justin Haythe,Dane DeHaan,146
A Dangerous Method,R,Biography,6.4,David Cronenberg,Christopher Hampton,Michael Fassbender,99
A Dangerous Woman,R,Drama,5.8,Stephen Gyllenhaal,Mary McGarry Morris,Debra Winger,102
A Dirty Shame,NC-17,Comedy,5.1,John Waters,John Waters,Tracey Ullman,89
A Dog's Journey,PG,Adventure,7.5,Gail Mancuso,W. Bruce Cameron,Josh Gad,109
A Dog's Purpose,PG,Adventure,7.2,Lasse Hallström,W. Bruce Cameron,Josh Gad,100
A Dog's Way Home,PG,Adventure,6.7,Charles Martin Smith,W. Bruce Cameron,Ashley Judd,96
A Dry White Season,R,Drama,7,Euzhan Palcy,André P. Brink,Donald Sutherland,106
A Family Thing,PG-13,Comedy,7,Richard Pearce,Billy Bob Thornton,Robert Duvall,109
A Far Off Place,PG,Adventure,6.6,Mikael Salomon,Lourens van der Post,Reese Witherspoon,108
A Few Good Men,R,Drama,7.7,Rob Reiner,Aaron Sorkin,Tom Cruise,138
A Field in England,Unrated,Drama,6.3,Ben Wheatley,Amy Jump,Julian Barratt,90
A Fine Mess,PG,Action,4.7,Blake Edwards,Blake Edwards,Ted Danson,90
A Fish Called Wanda,R,Comedy,7.5,Charles Crichton,John Cleese,John Cleese,108
A Ghost Story,R,Drama,6.9,David Lowery,David Lowery,Casey Affleck,92
A Good Day to Die Hard,R,Action,5.3,John Moore,Skip Woods,Bruce Willis,98
A Good Old Fashioned Orgy,R,Comedy,6.1,Alex Gregory,Alex Gregory,Jason Sudeikis,95
A Good Woman,PG,Drama,6.5,Mike Barker,Oscar Wilde,Helen Hunt,93
A Good Year,PG-13,Comedy,7,Ridley Scott,Marc Klein,Russell Crowe,117
A Goofy Movie,G,Animation,6.9,Kevin Lima,Jymn Magon,Bill Farmer,78
A Guide to Recognizing Your Saints,R,Crime,7,Dito Montiel,Dito Montiel,Robert Downey Jr.,100
A Guy Thing,PG-13,Comedy,5.6,Chris Koch,Greg Glienna,Jason Lee,101
A Handful of Dust,PG,Drama,6.6,Charles Sturridge,Evelyn Waugh,James Wilby,118
A Haunted House,R,Comedy,5,Michael Tiddes,Marlon Wayans,Marlon Wayans,86
A Haunted House 2,R,Comedy,4.7,Michael Tiddes,Marlon Wayans,Marlon Wayans,86
A History of Violence,R,Drama,7.4,David Cronenberg,John Wagner,Viggo Mortensen,96
A Hologram for the King,R,Comedy,6.1,Tom Tykwer,Dave Eggers,Tom Hanks,98
A Home of Our Own,PG,Biography,7.1,Tony Bill,Patrick Sheane Duncan,Kathy Bates,104
A Kid in King Arthur's Court,PG,Adventure,4.7,Michael Gottlieb,Michael Part,Thomas Ian Nicholas,89
A Kiss Before Dying,R,Crime,5.7,James Dearden,Ira Levin,Matt Dillon,94
A Knight's Tale,PG-13,Action,6.9,Brian Helgeland,Brian Helgeland,Heath Ledger,132
A League of Their Own,PG,Comedy,7.3,Penny Marshall,Kim Wilson,Tom Hanks,128
A Life Less Ordinary,R,Comedy,6.4,Danny Boyle,John Hodge,Cameron Diaz,103
A Little Chaos,R,Drama,6.5,Alan Rickman,Jeremy Brock,Kate Winslet,112
A Little Princess,G,Drama,7.7,Alfonso Cuarón,Frances Hodgson Burnett,Liesel Matthews,97
A Little Sex,R,Comedy,4.9,Bruce Paltrow,Robert De Laurentiis,Tim Matheson,95
A Long Way Down,R,Comedy,6.4,Pascal Chaumeil,Nick Hornby,Pierce Brosnan,96
A Lot Like Love,PG-13,Comedy,6.6,Nigel Cole,Colin Patrick Lynch,Ashton Kutcher,107
A Love Song for Bobby Long,R,Drama,7.1,Shainee Gabel,Ronald Everett Capps,Scarlett Johansson,119
A Low Down Dirty Shame,R,Action,6,Keenen Ivory Wayans,Keenen Ivory Wayans,Keenen Ivory Wayans,108
A Madea Family Funeral,PG-13,Comedy,4.5,Tyler Perry,Tyler Perry,Tyler Perry,109
A Man and a Woman: 20 Years Later,PG,Drama,5.9,Claude Lelouch,Claude Lelouch,Anouk Aimée,102
A Man Apart,R,Action,6.1,F. Gary Gray,Christian Gudegast,Vin Diesel,109
A Man Called Ove,PG-13,Comedy,7.7,Hannes Holm,Hannes Holm,Rolf Lassgård,116
A Man in Love,R,Drama,5.9,Diane Kurys,Diane Kurys,Peter Coyote,125
A Map of the World,R,Drama,6.6,Scott Elliott,Jane Hamilton,Sigourney Weaver,125
A Midnight Clear,R,Drama,7.2,Keith Gordon,William Wharton,Peter Berg,108
A Midsummer Night's Dream,PG-13,Comedy,6.4,Michael Hoffman,William Shakespeare,Kevin Kline,116
A Midsummer Night's Sex Comedy,PG,Comedy,6.6,Woody Allen,Woody Allen,Woody Allen,88
A Mighty Wind,PG-13,Comedy,7.2,Christopher Guest,Christopher Guest,Christopher Guest,91
A Million Ways to Die in the West,R,Comedy,6.1,Seth MacFarlane,Seth MacFarlane,Seth MacFarlane,116
A Monster Calls,PG-13,Adventure,7.5,J.A. Bayona,Patrick Ness,Lewis MacDougall,108
A Month in the Country,PG,Drama,6.9,Pat O'Connor,Simon Gray,Colin Firth,96
A Most Violent Year,R,Action,7,J.C. Chandor,J.C. Chandor,Oscar Isaac,125
A Most Wanted Man,R,Crime,6.8,Anton Corbijn,Andrew Bovell,Philip Seymour Hoffman,122
A New Life,PG-13,Comedy,5.8,Alan Alda,Alan Alda,Alan Alda,104
A Night at the Roxbury,PG-13,Comedy,6.2,John Fortenberry,Steve Koren,Chris Kattan,82
A Night in Heaven,R,Drama,4.3,John G. Avildsen,Joan Tewkesbury,Christopher Atkins,83
A Night in the Life of Jimmy Reardon,R,Comedy,5.5,William Richert,William Richert,River Phoenix,90
A Nightmare on Elm Street,R,Horror,7.5,Wes Craven,Wes Craven,Heather Langenkamp,91
A Nightmare on Elm Street,R,Crime,5.2,Samuel Bayer,Wesley Strick,Jackie Earle Haley,95
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,5.5,Jack Sholder,David Chaskin,Robert Englund,87
A Nightmare on Elm Street 3: Dream Warriors,R,Fantasy,6.6,Chuck Russell,Wes Craven,Heather Langenkamp,96
A Nightmare on Elm Street 4: The Dream Master,R,Horror,5.7,Renny Harlin,Wes Craven,Robert Englund,93
A Nightmare on Elm Street 5: The Dream Child,R,Fantasy,5.1,Stephen Hopkins,Wes Craven,Robert Englund,89
A Passage to India,PG,Adventure,7.3,David Lean,E.M. Forster,Judy Davis,164
A Perfect Getaway,R,Drama,6.5,David Twohy,David Twohy,Milla Jovovich,98
A Perfect Murder,R,Crime,6.5,Andrew Davis,Frederick Knott,Michael Douglas,107
A Perfect World,PG-13,Crime,7.5,Clint Eastwood,John Lee Hancock,Kevin Costner,138
A Polish Vampire in Burbank,Unrated,Comedy,5,Mark Pirro,Mark Pirro,Mark Pirro,80
A Prayer for the Dying,R,Action,6.3,Mike Hodges,Jack Higgins,Mickey Rourke,107
A Private Function,R,Comedy,6.5,Malcolm Mowbray,Alan Bennett,Michael Palin,92
A Private War,R,Biography,6.7,Matthew Heineman,Arash Amel,Rosamund Pike,110
A Prophet,R,Crime,7.9,Jacques Audiard,Thomas Bidegain,Tahar Rahim,155
A Pure Formality,PG-13,Crime,7.7,Giuseppe Tornatore,Giuseppe Tornatore,Gérard Depardieu,108
A Quiet Place,PG-13,Drama,7.5,John Krasinski,Bryan Woods,Emily Blunt,90
A Rage in Harlem,R,Comedy,5.9,Bill Duke,Chester Himes,Forest Whitaker,115
A River Runs Through It,PG,Drama,7.2,Robert Redford,Norman Maclean,Craig Sheffer,123
A Room for Romeo Brass,R,Comedy,7.6,Shane Meadows,Robyn Slovo,Martin Arrowsmith,90
A Room with a View,Unrated,Drama,7.3,James Ivory,E.M. Forster,Maggie Smith,117
A Royal Affair,R,Biography,7.5,Nikolaj Arcel,Bodil Steensen-Leth,Alicia Vikander,137
A Scanner Darkly,R,Animation,7.1,Richard Linklater,Philip K. Dick,Keanu Reeves,100
A Separation,PG-13,Drama,8.3,Asghar Farhadi,Asghar Farhadi,Payman Maadi,123
A Series of Unfortunate Events,PG,Adventure,6.8,Brad Silberling,Robert Gordon,Jim Carrey,108
A Serious Man,R,Comedy,7.1,Ethan Coen,Joel Coen,Michael Stuhlbarg,106
A Shock to the System,R,Comedy,6.7,Jan Egleson,Simon Brett,Michael Caine,88
A Simple Favor,R,Comedy,6.8,Paul Feig,Darcey Bell,Anna Kendrick,117
A Simple Plan,R,Crime,7.5,Sam Raimi,Scott B. Smith,Bill Paxton,121
A Simple Twist of Fate,PG-13,Comedy,6.3,Gillies MacKinnon,George Eliot,Steve Martin,106
A Simple Wish,PG,Comedy,5.4,Michael Ritchie,Jeff Rothberg,Martin Short,89
A Single Man,R,Drama,7.5,Tom Ford,Christopher Isherwood,Colin Firth,99
A Soldier's Story,PG,Crime,7.2,Norman Jewison,Charles Fuller,Howard E. Rollins Jr.,101
A Sound of Thunder,PG-13,Action,4.2,Peter Hyams,Ray Bradbury,Edward Burns,110
A Star Is Born,R,Drama,7.6,Bradley Cooper,Eric Roth,Lady Gaga,136
A Stranger Among Us,PG-13,Crime,5.6,Sidney Lumet,Robert J. Avrech,Melanie Griffith,110
A Summer Story,PG-13,Drama,7.3,Piers Haggard,John Galsworthy,Imogen Stubbs,95
A Summer's Tale,G,Comedy,7.6,Éric Rohmer,Éric Rohmer,Melvil Poupaud,113
A Sunday in the Country,G,Drama,7.6,Bertrand Tavernier,Pierre Bost,Louis Ducreux,90
A Tale of Springtime,PG,Comedy,7.2,Éric Rohmer,Éric Rohmer,Anne Teyssèdre,108
A Tale of Winter,Unrated,Drama,7.3,Éric Rohmer,Éric Rohmer,Charlotte Véry,114
A Taxi Driver,Unrated,Action,7.9,Hun Jang,Yu-na Eom,Kang-ho Song,137
A Thin Line Between Love and Hate,R,Comedy,5.7,Martin Lawrence,Martin Lawrence,Martin Lawrence,108
A Thousand Acres,R,Drama,6.1,Jocelyn Moorhouse,Jane Smiley,Michelle Pfeiffer,105
A Thousand Words,PG-13,Comedy,5.9,Brian Robbins,Steve Koren,Eddie Murphy,91
A Time to Kill,R,Crime,7.5,Joel Schumacher,John Grisham,Matthew McConaughey,149
A Troll in Central Park,G,Animation,5.4,Don Bluth,Stu Krieger,Dom DeLuise,76
A United Kingdom,PG-13,Biography,6.9,Amma Asante,Guy Hibbert,David Oyelowo,111
A Very Brady Sequel,PG-13,Comedy,5.8,Arlene Sanford,Sherwood Schwartz,Shelley Long,90
A Very Long Engagement,R,Drama,7.6,Jean-Pierre Jeunet,Sébastien Japrisot,Audrey Tautou,133
A View to a Kill,PG,Action,6.3,John Glen,Richard Maibaum,Roger Moore,131
A Walk Among the Tombstones,R,Action,6.5,Scott Frank,Lawrence Block,Liam Neeson,114
A Walk in the Clouds,PG-13,Drama,6.7,Alfonso Arau,Robert Mark Kamen,Keanu Reeves,102
A Walk in the Woods,R,Adventure,6.4,Ken Kwapis,Michael Arndt,Robert Redford,104
A Walk on the Moon,R,Drama,6.6,Tony Goldwyn,Pamela Gray,Diane Lane,107
A Walk to Remember,PG,Drama,7.3,Adam Shankman,Nicholas Sparks,Mandy Moore,101
A Wrinkle in Time,PG,Adventure,4.2,Ava DuVernay,Jennifer Lee,Storm Reid,109
A.I. Artificial Intelligence,PG-13,Drama,7.2,Steven Spielberg,Brian Aldiss,Haley Joel Osment,146
Abandon,PG-13,Drama,4.9,Stephen Gaghan,Stephen Gaghan,Katie Holmes,99
Abduction,PG-13,Action,5.1,John Singleton,Shawn Christensen,Taylor Lautner,106
Abominable,PG,Animation,7,Jill Culton,Jill Culton,Chloe Bennet,97
About a Boy,PG-13,Comedy,7.1,Chris Weitz,Nick Hornby,Hugh Grant,101
About Cherry,R,Drama,4.8,Stephen Elliott,Stephen Elliott,Ashley Hinshaw,98
About Last Night,R,Comedy,6.2,Edward Zwick,David Mamet,Rob Lowe,113
About Schmidt,R,Comedy,7.1,Alexander Payne,Louis Begley,Jack Nicholson,125
About Time,R,Comedy,7.8,Richard Curtis,Richard Curtis,Domhnall Gleeson,123
Above the Law,R,Action,6,Andrew Davis,Andrew Davis,Steven Seagal,99
Above the Rim,R,Crime,6.6,Jeff Pollack,Jeff Pollack,Duane Martin,96
Abraham Lincoln: Vampire Hunter,R,Action,5.9,Timur Bekmambetov,Seth Grahame-Smith,Benjamin Walker,105
Absence of Malice,PG,Drama,6.9,Sydney Pollack,Kurt Luedtke,Paul Newman,116
Absolute Beginners,PG-13,Drama,5.6,Julien Temple,Colin MacInnes,Patsy Kensit,108
Absolute Power,R,Action,6.7,Clint Eastwood,David Baldacci,Clint Eastwood,121
Accepted,PG-13,Comedy,6.4,Steve Pink,Adam Cooper,Justin Long,93
Ace Ventura: Pet Detective,PG-13,Comedy,6.9,Tom Shadyac,Jack Bernstein,Jim Carrey,86
Ace Ventura: When Nature Calls,PG-13,Adventure,6.4,Steve Oedekerk,Jack Bernstein,Jim Carrey,90
Aces: Iron Eagle III,R,Action,3.7,John Glen,Kevin Alyn Elders,Louis Gossett Jr.,98
Across the Universe,PG-13,Drama,7.3,Julie Taymor,Dick Clement,Evan Rachel Wood,133
Act of Valor,R,Action,6.5,Mike McCoy,Kurt Johnstad,Alex Veadov,110
Action Jackson,R,Action,5.4,Craig R. Baxley,Robert Reneau,Carl Weathers,96
Action Point,R,Comedy,5.1,Tim Kirkby,John Altschuler,Johnny Knoxville,85
Ad Astra,PG-13,Adventure,6.5,James Gray,James Gray,Brad Pitt,123
Adam's Apples,R,Comedy,7.8,Anders Thomas Jensen,Anders Thomas Jensen,Ulrich Thomsen,94
Adaptation.,R,Comedy,7.7,Spike Jonze,Susan Orlean,Nicolas Cage,115
Addams Family Values,PG-13,Comedy,6.8,Barry Sonnenfeld,Charles Addams,Anjelica Huston,94
Addicted,R,Drama,5.1,Bille Woodruff,Christina Welsh,Sharon Leal,106
Addicted to Love,R,Comedy,6.1,Griffin Dunne,Robert Gordon,Meg Ryan,100
Adore,R,Drama,6.2,Anne Fontaine,Anne Fontaine,Naomi Watts,112
Adrift,PG-13,Action,6.6,Baltasar Kormákur,Aaron Kandell,Shailene Woodley,96
Adventureland,R,Comedy,6.8,Greg Mottola,Greg Mottola,Jesse Eisenberg,107
Adventures in Babysitting,PG-13,Adventure,6.9,Chris Columbus,David Simkins,Elisabeth Shue,102
Ae Dil Hai Mushkil,Unrated,Drama,5.8,Karan Johar,Karan Johar,Ranbir Kapoor,158
Aeon Flux,PG-13,Action,5.5,Karyn Kusama,Phil Hay,Charlize Theron,93
Affliction,R,Drama,7,Paul Schrader,Russell Banks,Nick Nolte,114
After,PG-13,Drama,5.3,Jenny Gage,Susan McMartin,Josephine Langford,105
"After Dark, My Sweet",R,Crime,6.6,James Foley,Jim Thompson,Jason Patric,114
After Earth,PG-13,Action,4.8,M. Night Shyamalan,Gary Whitta,Jaden Smith,100
After Hours,R,Comedy,7.7,Martin Scorsese,Joseph Minion,Griffin Dunne,97
After Life,Unrated,Drama,7.6,Hirokazu Koreeda,Hirokazu Koreeda,Arata Iura,119
After Midnight,R,Horror,5.5,Jim Wheat,Ken Wheat,Jillian McWhirter,90
After the Sunset,PG-13,Action,6.3,Brett Ratner,Paul Zbyszewski,Pierce Brosnan,97
After the Wedding,R,Drama,7.7,Susanne Bier,Susanne Bier,Mads Mikkelsen,120
After the Wedding,PG-13,Drama,6.3,Bart Freundlich,Bart Freundlich,Julianne Moore,112
After.Life,R,Drama,5.9,Agnieszka Wojtowicz-Vosloo,Agnieszka Wojtowicz-Vosloo,Christina Ricci,104
Afternoon Delight,R,Comedy,5.7,Joey Soloway,Joey Soloway,Kathryn Hahn,98
Against All Odds,R,Action,5.9,Taylor Hackford,Eric Hughes,Rachel Ward,128
Agent Cody Banks,PG,Action,5.1,Harald Zwart,Ashley Miller,Frankie Muniz,102
Agnes of God,PG-13,Drama,6.6,Norman Jewison,John Pielmeier,Jane Fonda,98
Agora,R,Adventure,7.2,Alejandro Amenábar,Alejandro Amenábar,Rachel Weisz,127
Aimee & Jaguar,Unrated,Biography,7.2,Max Färberböck,Max Färberböck,Maria Schrader,125
Ain't Them Bodies Saints,R,Crime,6.4,David Lowery,David Lowery,Rooney Mara,96
Air America,R,Action,5.8,Roger Spottiswoode,Christopher Robbins,Mel Gibson,113
Air Bud,PG,Comedy,5.3,Charles Martin Smith,Kevin DiCicco,Michael Jeter,98
Air Force One,R,Action,6.5,Wolfgang Petersen,Andrew W. Marlowe,Harrison Ford,124
Airborne,PG,Adventure,6.3,Rob Bowman,Bill Apablasa,Shane McDermott,91
Airheads,PG-13,Comedy,6.1,Michael Lehmann,Rich Wilkes,Brendan Fraser,92
Airplane II: the Sequel,PG,Comedy,6.2,Ken Finkleman,Ken Finkleman,Robert Hays,85
Airplane!,PG,Comedy,7.7,Jim Abrahams,Jim Abrahams,Robert Hays,88
Akeelah and the Bee,PG,Drama,7.4,Doug Atchison,Doug Atchison,Angela Bassett,112
Akira,R,Animation,8,Katsuhiro Ôtomo,Katsuhiro Ôtomo,Mitsuo Iwata,124
Al di là delle nuvole,Unrated,Drama,6.5,Michelangelo Antonioni,Tonino Guerra,Fanny Ardant,110
Aladdin,G,Animation,8,Ron Clements,Ron Clements,Scott Weinger,90
Aladdin,PG,Adventure,6.9,Guy Ritchie,John August,Will Smith,128
Alamo Bay,R,Action,6,Louis Malle,Alice Arlen,Amy Madigan,98
